hs_object_id,name,domain,industry,hubspot_owner_id,createdate,hs_lastmodifieddate,properties
HS-COMP-000001,North Capital 1,client001.example.com,EdTech,HS-OWN-0005,2024-08-29 04:23:10,2026-03-08 07:57:32,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":18279.81,""renewal_date"":""2025-08-29""}"
HS-COMP-000002,North Retail 2,client002.example.com,E-commerce,HS-OWN-0006,2025-12-13 15:20:36,2026-01-13 15:24:34,"{""service_line_tags"":[""SEO""],""contract_type"":""Hybrid"",""retainer_value"":12008.82,""renewal_date"":""2026-12-13""}"
HS-COMP-000003,Bright Labs 3,client003.example.com,Real Estate,HS-OWN-0008,2025-01-16 20:08:31,2025-04-01 23:03:57,"{""service_line_tags"":[""SEO"",""Web Dev"",""Analytics""],""contract_type"":""Project"",""retainer_value"":21568.62,""renewal_date"":""2027-01-16""}"
HS-COMP-000004,Nova Retail 4,client004.example.com,Real Estate,HS-OWN-0002,2025-05-30 12:34:01,2025-09-21 09:11:11,"{""service_line_tags"":[""Social""],""contract_type"":""Hybrid"",""retainer_value"":16416.69,""renewal_date"":""2026-05-30""}"
HS-COMP-000005,Prime Health 5,client005.example.com,FinTech,HS-OWN-0006,2024-09-20 18:06:56,2025-05-03 12:41:53,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":21744.65,""renewal_date"":""2025-03-19""}"
HS-COMP-000006,Blue Digital 6,client006.example.com,Real Estate,HS-OWN-0003,2024-12-28 16:30:35,2025-06-09 10:00:13,"{""service_line_tags"":[""Social"",""Paid Media"",""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":8507.0,""renewal_date"":""2026-12-28""}"
HS-COMP-000007,Nova Retail 7,client007.example.com,Real Estate,HS-OWN-0006,2025-03-21 18:56:19,2025-08-16 03:43:10,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":24764.28,""renewal_date"":""2027-03-21""}"
HS-COMP-000008,North Digital 8,client008.example.com,Real Estate,HS-OWN-0006,2025-12-26 01:17:40,2025-12-29 04:05:36,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":11526.21,""renewal_date"":""2026-06-24""}"
HS-COMP-000009,North Retail 9,client009.example.com,Real Estate,HS-OWN-0009,2025-04-19 12:07:44,2025-09-20 03:41:07,"{""service_line_tags"":[""Content"",""Social"",""Email""],""contract_type"":""Hybrid"",""retainer_value"":12824.17,""renewal_date"":""2026-04-19""}"
HS-COMP-000010,Nova Capital 10,client010.example.com,SaaS,HS-OWN-0001,2025-02-23 12:22:09,2025-12-30 17:44:03,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":7434.72,""renewal_date"":""2025-08-22""}"
HS-COMP-000011,Prime Capital 11,client011.example.com,EdTech,HS-OWN-0008,2025-07-28 02:13:33,2025-09-28 05:21:58,"{""service_line_tags"":[""Content"",""Email"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":11998.6,""renewal_date"":""2026-01-24""}"
HS-COMP-000012,Bright Labs 12,client012.example.com,Retail,HS-OWN-0007,2025-09-07 03:11:08,2025-10-21 14:53:06,"{""service_line_tags"":[""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":22407.74,""renewal_date"":""2026-09-07""}"
HS-COMP-000013,North Digital 13,client013.example.com,SaaS,HS-OWN-0005,2024-03-30 06:16:51,2025-10-12 03:03:08,"{""service_line_tags"":[""Email"",""Analytics"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":8426.25,""renewal_date"":""2026-03-30""}"
HS-COMP-000014,Blue Digital 14,client014.example.com,Retail,HS-OWN-0008,2024-07-24 10:54:51,2025-05-10 21:10:24,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":14636.03,""renewal_date"":""2026-07-24""}"
HS-COMP-000015,Blue Labs 15,client015.example.com,Real Estate,HS-OWN-0008,2025-01-03 16:14:08,2025-08-30 12:42:51,"{""service_line_tags"":[""Analytics""],""contract_type"":""Retainer"",""retainer_value"":3803.32,""renewal_date"":""2027-01-03""}"
HS-COMP-000016,Nova Retail 16,client016.example.com,Retail,HS-OWN-0009,2025-05-15 12:08:47,2026-03-08 22:14:26,"{""service_line_tags"":[""Web Dev"",""Paid Media"",""Email""],""contract_type"":""Retainer"",""retainer_value"":5388.81,""renewal_date"":""2026-05-15""}"
HS-COMP-000017,Prime Health 17,client017.example.com,FinTech,HS-OWN-0009,2025-11-04 08:56:51,2026-03-26 02:40:22,"{""service_line_tags"":[""SEO"",""Paid Media""],""contract_type"":""Hybrid"",""retainer_value"":7025.9,""renewal_date"":""2026-11-04""}"
