_dataorbit_sync_id,_dataorbit_synced_at,id,employee_id,time_off_type,start_date,end_date,status,amount,unit
82bc7775-21a5-4910-88b5-76443ee7fb15,2026-03-27 17:37:47,PTO-000001,BAM-00044,Sick,2025-11-18,2025-11-23,pending,6,days
4f9c965f-dd49-47ae-833a-ccac56c81fdb,2026-03-27 17:37:47,PTO-000002,BAM-00054,Sick,2025-08-11,2025-08-18,approved,64,hours
2c6a5446-ca39-4f38-9418-8f7c60edc17e,2026-03-27 17:37:47,PTO-000003,BAM-00027,Sick,2025-02-15,2025-02-19,denied,5,days
8210c7b5-5751-4594-bedb-b53e1cb929af,2026-03-27 17:37:47,PTO-000004,BAM-00059,Sick,2024-10-11,2024-10-13,denied,24,hours
c2baaef9-1f05-4504-83e4-e4964627bf80,2026-03-27 17:37:47,PTO-000005,BAM-00054,Personal,2025-11-09,2025-11-11,approved,3,days
ec1d0ea8-ffcc-4507-85b3-a03e0d5de412,2026-03-27 17:37:47,PTO-000006,BAM-00006,Vacation,2024-04-08,2024-04-10,pending,24,hours
0e0c2f12-15c7-4a9b-ba9e-128a7fd73427,2026-03-27 17:37:47,PTO-000007,BAM-00057,Sick,2024-09-12,2024-09-13,denied,16,hours
c7e985e4-d900-43d8-a62e-648724b3667d,2026-03-27 17:37:47,PTO-000008,BAM-00033,Personal,2025-09-12,2025-09-18,approved,56,hours
a02a331f-0975-4db9-81d7-acb60e8df32c,2026-03-27 17:37:47,PTO-000009,BAM-00064,Parental Leave,2024-06-04,2024-06-09,approved,48,hours
08b311fa-424c-48fc-996f-98add2183afd,2026-03-27 17:37:47,PTO-000010,BAM-00015,Vacation,2024-04-22,2024-04-27,denied,6,days
03a3bc65-c1c4-42aa-a1d1-a0f1520cfa0b,2026-03-27 17:37:47,PTO-000011,BAM-00025,Sick,2024-06-02,2024-06-10,approved,72,hours
1693c830-20d9-4d8b-9b25-3dd9525426ed,2026-03-27 17:37:47,PTO-000012,BAM-00047,Sick,2024-05-18,2024-05-25,pending,8,days
ad25fbb6-55f3-49b7-8002-c738a49de42a,2026-03-27 17:37:47,PTO-000013,BAM-00058,Parental Leave,2024-11-15,2024-11-16,approved,2,days
c66d2461-b2d2-4fcb-99d7-2bf36729ebcf,2026-03-27 17:37:47,PTO-000014,BAM-00036,Vacation,2024-06-22,2024-06-26,approved,40,hours
0bf9c189-945c-42ba-bc9c-97415635f27e,2026-03-27 17:37:47,PTO-000015,BAM-00059,Sick,2026-02-10,2026-02-15,pending,6,days
c990af0d-26ce-4364-8f14-32f5cabe52ed,2026-03-27 17:37:47,PTO-000016,BAM-00003,Parental Leave,2024-03-27,2024-04-05,approved,10,days
