_dataorbit_sync_id,_dataorbit_synced_at,_dataorbit_is_deleted,hs_object_id,name,domain,industry,hubspot_owner_id,createdate,hs_lastmodifieddate,properties
650ecf5b-5e19-4260-8fdd-33459f3e6613,2026-03-27 17:37:47,False,HS-COMP-000001,North Capital 1,client001.example.com,EdTech,HS-OWN-0005,2024-08-29 04:13:55,2026-03-08 07:48:17,"{""service_line_tags"":[""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":18279.81,""renewal_date"":""2025-08-29""}"
af117d98-048c-4499-95e8-8be47b2bb201,2026-03-27 17:37:47,False,HS-COMP-000002,North Retail 2,client002.example.com,E-commerce,HS-OWN-0006,2025-12-13 15:11:21,2026-01-13 15:15:19,"{""service_line_tags"":[""SEO""],""contract_type"":""Hybrid"",""retainer_value"":12008.82,""renewal_date"":""2026-12-13""}"
6334e317-5c0f-4171-b51f-267fce7a3a4c,2026-03-27 17:37:47,False,HS-COMP-000003,Bright Labs 3,client003.example.com,Real Estate,HS-OWN-0008,2025-01-16 19:59:16,2025-04-01 22:54:42,"{""service_line_tags"":[""SEO"",""Web Dev"",""Analytics""],""contract_type"":""Project"",""retainer_value"":21568.62,""renewal_date"":""2027-01-16""}"
7f4d289f-e32a-4537-b434-bb2af7d7e797,2026-03-27 17:37:47,False,HS-COMP-000004,Nova Retail 4,client004.example.com,Real Estate,HS-OWN-0002,2025-05-30 12:24:46,2025-09-21 09:01:56,"{""service_line_tags"":[""Social""],""contract_type"":""Hybrid"",""retainer_value"":16416.69,""renewal_date"":""2026-05-30""}"
97a7d098-01fb-434c-a89e-1fab60793b30,2026-03-27 17:37:47,False,HS-COMP-000005,Prime Health 5,client005.example.com,FinTech,HS-OWN-0006,2024-09-20 17:57:41,2025-05-03 12:32:38,"{""service_line_tags"":[""Content""],""contract_type"":""Retainer"",""retainer_value"":21744.65,""renewal_date"":""2025-03-19""}"
2c386c8d-e85e-4702-80fd-684949351998,2026-03-27 17:37:47,False,HS-COMP-000006,Blue Digital 6,client006.example.com,Real Estate,HS-OWN-0003,2024-12-28 16:21:20,2025-06-09 09:50:58,"{""service_line_tags"":[""Social"",""Paid Media"",""Analytics""],""contract_type"":""Hybrid"",""retainer_value"":8507.0,""renewal_date"":""2026-12-28""}"
c01bc62b-3590-4e46-bac5-efabe987ae7c,2026-03-27 17:37:47,False,HS-COMP-000007,Nova Retail 7,client007.example.com,Real Estate,HS-OWN-0006,2025-03-21 18:47:04,2025-08-16 03:33:55,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":24764.28,""renewal_date"":""2027-03-21""}"
b7aa2afb-1dda-4f5f-baf6-469085ee7357,2026-03-27 17:37:47,False,HS-COMP-000008,North Digital 8,client008.example.com,Real Estate,HS-OWN-0006,2025-12-26 01:08:25,2025-12-29 03:56:21,"{""service_line_tags"":[""Social""],""contract_type"":""Project"",""retainer_value"":11526.21,""renewal_date"":""2026-06-24""}"
63021350-3389-4dcc-9b19-5eec0377380b,2026-03-27 17:37:47,False,HS-COMP-000009,North Retail 9,client009.example.com,Real Estate,HS-OWN-0009,2025-04-19 11:58:29,2025-09-20 03:31:52,"{""service_line_tags"":[""Content"",""Social"",""Email""],""contract_type"":""Hybrid"",""retainer_value"":12824.17,""renewal_date"":""2026-04-19""}"
88dc2a9e-11f6-4bbb-8b2b-9335f213b46f,2026-03-27 17:37:47,False,HS-COMP-000010,Nova Capital 10,client010.example.com,SaaS,HS-OWN-0001,2025-02-23 12:12:54,2025-12-30 17:34:48,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":7434.72,""renewal_date"":""2025-08-22""}"
80a78443-d143-4c66-bb18-260c4bf1fc4e,2026-03-27 17:37:47,False,HS-COMP-000011,Prime Capital 11,client011.example.com,EdTech,HS-OWN-0008,2025-07-28 02:04:18,2025-09-28 05:12:43,"{""service_line_tags"":[""Content"",""Email"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":11998.6,""renewal_date"":""2026-01-24""}"
