_dataorbit_sync_id,_dataorbit_synced_at,_dataorbit_is_deleted,hs_object_id,dealname,amount,dealstage,pipeline,closedate,createdate,hs_deal_stage_probability,hubspot_owner_id,associated_company_ids,properties
ef7eee48-1153-4723-b419-ab970ebf9400,2026-03-27 17:33:21,False,HS-DEA-0000001,North Capital 1 - Growth,54021.47,closedlost,default,2024-07-28,2024-05-13 23:25:24,0,HS-OWN-0005,"[""HS-COMP-000001""]","{""service_line"":""Web Dev""}"
1ff18aca-e805-477b-b95a-7de05dac0a68,2026-03-27 17:33:21,False,HS-DEA-0000002,North Retail 2 - Rebuild,54077.86,closedwon,default,2025-11-11,2025-10-15 10:31:07,100,HS-OWN-0006,"[""HS-COMP-000002""]","{""service_line"":""Content""}"
54ce2d00-038c-417a-a713-dbec467b9ecd,2026-03-27 17:33:21,False,HS-DEA-0000003,North Retail 2 - Growth,12720.33,closedlost,default,2024-11-03,2024-07-24 06:57:05,0,HS-OWN-0006,"[""HS-COMP-000002""]","{""service_line"":""SEO""}"
cf693dd9-3021-4195-a418-504fe9e7f02b,2026-03-27 17:33:21,False,HS-DEA-0000004,North Retail 2 - Growth,98353.47,closedwon,default,2025-03-25,2025-02-26 04:19:03,100,HS-OWN-0006,"[""HS-COMP-000002""]","{""service_line"":""Email""}"
34519b9b-c45c-4af4-95fb-542ea80ea201,2026-03-27 17:33:21,False,HS-DEA-0000005,North Retail 2 - Campaign,82051.53,closedwon,default,2025-08-31,2025-06-06 22:17:07,100,HS-OWN-0006,"[""HS-COMP-000002""]","{""service_line"":""Content""}"
c9af0794-350f-44e5-9574-64149d2481c9,2026-03-27 17:33:21,False,HS-DEA-0000006,Bright Labs 3 - Rebuild,110976.81,closedwon,default,2025-02-06,2024-10-25 23:41:06,100,HS-OWN-0008,"[""HS-COMP-000003""]","{""service_line"":""SEO""}"
6bd0ec10-3b51-4065-a542-6f46318e85e6,2026-03-27 17:33:21,False,HS-DEA-0000007,Bright Labs 3 - Growth,13002.32,closedlost,default,2024-09-17,2024-08-15 15:12:01,0,HS-OWN-0008,"[""HS-COMP-000003""]","{""service_line"":""SEO""}"
22c3da01-a13d-4343-b201-8c1eacfaad4b,2026-03-27 17:33:21,False,HS-DEA-0000008,Nova Retail 4 - Rebuild,65597.42,closedlost,default,2025-02-11,2024-11-02 17:39:09,0,HS-OWN-0002,"[""HS-COMP-000004""]","{""service_line"":""SEO""}"
66d79ef4-3aa4-4097-89bf-6de1068af47f,2026-03-27 17:33:21,False,HS-DEA-0000009,Prime Health 5 - Retainer,66246.97,closedlost,default,2024-09-11,2024-08-11 04:44:39,0,HS-OWN-0006,"[""HS-COMP-000005""]","{""service_line"":""Email""}"
6366e6a6-4527-48bf-bf96-8f996546df71,2026-03-27 17:33:21,False,HS-DEA-0000010,Prime Health 5 - Growth,13288.68,closedwon,default,2025-09-12,2025-06-04 16:55:04,100,HS-OWN-0006,"[""HS-COMP-000005""]","{""service_line"":""Web Dev""}"
a016299d-64d9-48b8-826a-5e3c0ce28876,2026-03-27 17:33:21,False,HS-DEA-0000011,Prime Health 5 - Campaign,104142.65,appointmentscheduled,default,2024-06-23,2024-04-11 06:55:24,25,HS-OWN-0006,"[""HS-COMP-000005""]","{""service_line"":""Email""}"
b425431f-35e9-41a9-a1f7-a0aa6b5f0502,2026-03-27 17:33:21,False,HS-DEA-0000012,Prime Health 5 - Campaign,38294.25,closedlost,default,2025-05-20,2025-02-04 20:32:41,0,HS-OWN-0006,"[""HS-COMP-000005""]","{""service_line"":""SEO""}"
6038a0fe-e4b0-4614-975d-5648d97a835b,2026-03-27 17:33:21,False,HS-DEA-0000013,Blue Digital 6 - Rebuild,109181.11,qualifiedtobuy,default,2025-08-01,2025-05-13 20:44:47,55,HS-OWN-0003,"[""HS-COMP-000006""]","{""service_line"":""Content""}"
4d62b70d-49c5-4a31-b187-f657fe23e319,2026-03-27 17:33:21,False,HS-DEA-0000014,Nova Retail 7 - Rebuild,58925.92,appointmentscheduled,default,2024-10-01,2024-07-22 23:36:20,25,HS-OWN-0006,"[""HS-COMP-000007""]","{""service_line"":""Analytics""}"
c4e1faca-17fa-4a95-94b2-32ab36f31843,2026-03-27 17:33:21,False,HS-DEA-0000015,Nova Retail 7 - Growth,45473.36,appointmentscheduled,default,2025-01-25,2024-10-27 01:50:38,25,HS-OWN-0006,"[""HS-COMP-000007""]","{""service_line"":""Content""}"
f4ca47b4-eeea-4131-a2ed-fd78ce5ad5b6,2026-03-27 17:33:21,False,HS-DEA-0000016,Nova Retail 7 - Rebuild,11542.36,appointmentscheduled,default,2025-06-01,2025-03-21 09:03:34,25,HS-OWN-0006,"[""HS-COMP-000007""]","{""service_line"":""SEO""}"
40b93c12-130a-421b-945f-b2d3e1d828b5,2026-03-27 17:33:21,False,HS-DEA-0000017,North Digital 8 - Rebuild,56810.16,appointmentscheduled,default,2025-05-25,2025-04-21 03:43:11,25,HS-OWN-0006,"[""HS-COMP-000008""]","{""service_line"":""Social""}"
74366928-ddac-4c63-8953-ed7a06eca5fa,2026-03-27 17:33:21,False,HS-DEA-0000018,North Digital 8 - Campaign,9501.34,qualifiedtobuy,default,2024-08-19,2024-06-01 05:33:53,55,HS-OWN-0006,"[""HS-COMP-000008""]","{""service_line"":""Web Dev""}"
dcee3e71-6825-4f05-95bd-dee3da9a39c4,2026-03-27 17:33:21,False,HS-DEA-0000019,North Digital 8 - Rebuild,46848.27,qualifiedtobuy,default,2025-07-28,2025-05-08 18:54:06,55,HS-OWN-0006,"[""HS-COMP-000008""]","{""service_line"":""Web Dev""}"
9a81bec5-b9a4-47b7-beaf-b98302ccf893,2026-03-27 17:33:21,False,HS-DEA-0000020,North Digital 8 - Growth,83073.24,closedwon,default,2025-06-02,2025-02-08 05:34:10,100,HS-OWN-0006,"[""HS-COMP-000008""]","{""service_line"":""Analytics""}"
d66c90d3-5106-4d12-9645-14c1724939bd,2026-03-27 17:33:21,False,HS-DEA-0000021,North Retail 9 - Growth,98516.25,closedwon,default,2025-12-03,2025-08-09 13:08:22,100,HS-OWN-0009,"[""HS-COMP-000009""]","{""service_line"":""Social""}"
e44aa337-aa5d-4a69-a3e6-ec0135d60a4a,2026-03-27 17:33:21,False,HS-DEA-0000022,North Retail 9 - Rebuild,7096.51,closedwon,default,2025-11-07,2025-08-30 11:45:44,100,HS-OWN-0009,"[""HS-COMP-000009""]","{""service_line"":""Paid Media""}"
2a08ee6b-5de2-4ee2-abf8-3e6780ecb549,2026-03-27 17:33:21,False,HS-DEA-0000023,North Retail 9 - Retainer,27080.6,closedlost,default,2024-11-07,2024-09-10 02:23:47,0,HS-OWN-0009,"[""HS-COMP-000009""]","{""service_line"":""Paid Media""}"
c0680a68-8447-4d7e-a632-05c3b735502e,2026-03-27 17:33:21,False,HS-DEA-0000024,North Retail 9 - Growth,63384.32,appointmentscheduled,default,2024-07-17,2024-05-26 16:01:02,25,HS-OWN-0009,"[""HS-COMP-000009""]","{""service_line"":""Social""}"
91c7b550-4d65-4504-b5c6-a5c6d6050fdd,2026-03-27 17:33:21,False,HS-DEA-0000025,Nova Capital 10 - Campaign,83005.28,closedwon,default,2026-04-07,2026-02-27 20:51:31,100,HS-OWN-0001,"[""HS-COMP-000010""]","{""service_line"":""Web Dev""}"
