id,company_name,email,entity_id,subsidiary,terms,balance,category,last_modified_date,custom_fields
NS-CUST-000001,North Capital 1,finance@client001.example.com,HS-COMP-000001,APAC,Net 15,0.0,C,2026-03-08 07:54:21,"{""segment"":""Enterprise""}"
NS-CUST-000002,North Retail 2,finance@client002.example.com,HS-COMP-000002,APAC,Net 15,0.0,A,2026-01-13 15:21:23,"{""segment"":""Mid-Market""}"
NS-CUST-000003,Bright Labs 3,finance@client003.example.com,HS-COMP-000003,US,Net 60,0.0,A,2025-04-01 23:00:46,"{""segment"":""Enterprise""}"
NS-CUST-000004,Nova Retail 4,finance@client004.example.com,HS-COMP-000004,APAC,Net 45,0.0,B,2025-09-21 09:08:00,"{""segment"":""SMB""}"
NS-CUST-000005,Prime Health 5,finance@client005.example.com,HS-COMP-000005,US,Net 60,0.0,A,2025-05-03 12:38:42,"{""segment"":""SMB""}"
NS-CUST-000006,Blue Digital 6,finance@client006.example.com,HS-COMP-000006,US,Net 60,0.0,B,2025-06-09 09:57:02,"{""segment"":""Mid-Market""}"
NS-CUST-000007,Nova Retail 7,finance@client007.example.com,HS-COMP-000007,EMEA,Net 30,0.0,C,2025-08-16 03:39:59,"{""segment"":""Mid-Market""}"
NS-CUST-000008,North Digital 8,finance@client008.example.com,HS-COMP-000008,US,Net 60,0.0,C,2025-12-29 04:02:25,"{""segment"":""Mid-Market""}"
NS-CUST-000009,North Retail 9,finance@client009.example.com,HS-COMP-000009,APAC,Net 60,0.0,A,2025-09-20 03:37:56,"{""segment"":""Mid-Market""}"
NS-CUST-000010,Nova Capital 10,finance@client010.example.com,HS-COMP-000010,APAC,Net 15,0.0,A,2025-12-30 17:40:52,"{""segment"":""Enterprise""}"
NS-CUST-000011,Prime Capital 11,finance@client011.example.com,HS-COMP-000011,US,Net 15,0.0,B,2025-09-28 05:18:47,"{""segment"":""Enterprise""}"
NS-CUST-000012,Bright Labs 12,finance@client012.example.com,HS-COMP-000012,US,Net 15,0.0,A,2025-10-21 14:49:55,"{""segment"":""SMB""}"
NS-CUST-000013,North Digital 13,finance@client013.example.com,HS-COMP-000013,APAC,Net 15,0.0,B,2025-10-12 02:59:57,"{""segment"":""SMB""}"
NS-CUST-000014,Blue Digital 14,finance@client014.example.com,HS-COMP-000014,EMEA,Net 60,0.0,B,2025-05-10 21:07:13,"{""segment"":""SMB""}"
NS-CUST-000015,Blue Labs 15,finance@client015.example.com,HS-COMP-000015,APAC,Net 30,0.0,A,2025-08-30 12:39:40,"{""segment"":""Mid-Market""}"
NS-CUST-000016,Nova Retail 16,finance@client016.example.com,HS-COMP-000016,US,Net 30,0.0,B,2026-03-08 22:11:15,"{""segment"":""SMB""}"
NS-CUST-000017,Prime Health 17,finance@client017.example.com,HS-COMP-000017,US,Net 15,0.0,B,2026-03-26 02:37:11,"{""segment"":""Enterprise""}"
NS-CUST-000018,North Digital 18,finance@client018.example.com,HS-COMP-000018,APAC,Net 45,0.0,B,2024-11-06 23:55:19,"{""segment"":""Enterprise""}"
NS-CUST-000019,Bright Labs 19,finance@client019.example.com,HS-COMP-000019,US,Net 15,0.0,B,2025-08-22 19:05:08,"{""segment"":""Enterprise""}"
NS-CUST-000020,Nova Capital 20,finance@client020.example.com,HS-COMP-000020,APAC,Net 15,0.0,A,2025-11-02 23:26:35,"{""segment"":""Mid-Market""}"
NS-CUST-000021,Prime Labs 21,finance@client021.example.com,HS-COMP-000021,APAC,Net 30,0.0,C,2025-11-04 20:58:50,"{""segment"":""Mid-Market""}"
NS-CUST-000022,Nova Capital 22,finance@client022.example.com,HS-COMP-000022,APAC,Net 45,0.0,B,2025-12-19 05:52:50,"{""segment"":""Enterprise""}"
NS-CUST-000023,Blue Labs 23,finance@client023.example.com,HS-COMP-000023,EMEA,Net 30,0.0,B,2025-06-27 02:06:28,"{""segment"":""Enterprise""}"
NS-CUST-000024,North Capital 24,finance@client024.example.com,HS-COMP-000024,EMEA,Net 30,0.0,C,2025-12-18 22:49:04,"{""segment"":""Enterprise""}"
NS-CUST-000025,Nova Capital 25,finance@client025.example.com,HS-COMP-000025,APAC,Net 15,0.0,A,2025-10-08 03:26:40,"{""segment"":""Mid-Market""}"
NS-CUST-000026,Blue Digital 26,finance@client026.example.com,HS-COMP-000026,EMEA,Net 30,0.0,C,2026-01-17 04:03:34,"{""segment"":""Enterprise""}"
NS-CUST-000027,North Capital 27,finance@client027.example.com,HS-COMP-000027,US,Net 30,0.0,B,2026-03-21 05:17:31,"{""segment"":""Mid-Market""}"
NS-CUST-000028,Nova Digital 28,finance@client028.example.com,HS-COMP-000028,US,Net 60,0.0,B,2025-07-17 22:47:24,"{""segment"":""SMB""}"
NS-CUST-000029,Bright Capital 29,finance@client029.example.com,HS-COMP-000029,APAC,Net 30,0.0,B,2025-12-05 00:42:59,"{""segment"":""Enterprise""}"
NS-CUST-000030,Nova Health 30,finance@client030.example.com,HS-COMP-000030,US,Net 45,0.0,B,2026-02-26 20:27:33,"{""segment"":""Mid-Market""}"
NS-CUST-000031,Bright Digital 31,finance@client031.example.com,HS-COMP-000031,US,Net 15,0.0,C,2025-08-18 02:45:54,"{""segment"":""SMB""}"
NS-CUST-000032,North Health 32,finance@client032.example.com,HS-COMP-000032,APAC,Net 30,0.0,B,2026-02-14 05:58:22,"{""segment"":""SMB""}"
NS-CUST-000033,Bright Digital 33,finance@client033.example.com,HS-COMP-000033,US,Net 60,0.0,A,2026-02-14 08:53:36,"{""segment"":""Enterprise""}"
NS-CUST-000034,North Health 34,finance@client034.example.com,HS-COMP-000034,APAC,Net 45,0.0,B,2026-01-13 21:39:43,"{""segment"":""Mid-Market""}"
NS-CUST-000035,North Digital 35,finance@client035.example.com,HS-COMP-000035,US,Net 30,0.0,C,2024-06-30 03:28:02,"{""segment"":""Enterprise""}"
NS-CUST-000036,Bright Retail 36,finance@client036.example.com,HS-COMP-000036,EMEA,Net 45,0.0,A,2024-08-06 05:14:02,"{""segment"":""SMB""}"
NS-CUST-000037,North Retail 37,finance@client037.example.com,HS-COMP-000037,EMEA,Net 60,0.0,A,2026-03-26 22:18:37,"{""segment"":""SMB""}"
NS-CUST-000038,North Health 38,finance@client038.example.com,HS-COMP-000038,APAC,Net 30,0.0,A,2024-09-02 07:18:25,"{""segment"":""Mid-Market""}"
NS-CUST-000039,Bright Health 39,finance@client039.example.com,HS-COMP-000039,APAC,Net 60,0.0,C,2026-03-10 07:51:22,"{""segment"":""Enterprise""}"
NS-CUST-000040,Bright Health 40,finance@client040.example.com,HS-COMP-000040,APAC,Net 45,0.0,C,2025-11-05 09:44:28,"{""segment"":""SMB""}"
NS-CUST-000041,North Digital 41,finance@client041.example.com,HS-COMP-000041,APAC,Net 60,0.0,C,2024-12-31 09:19:22,"{""segment"":""Enterprise""}"
NS-CUST-000042,Nova Digital 42,finance@client042.example.com,HS-COMP-000042,EMEA,Net 45,0.0,C,2025-11-23 18:39:40,"{""segment"":""Enterprise""}"
NS-CUST-000043,North Health 43,finance@client043.example.com,HS-COMP-000043,EMEA,Net 30,0.0,C,2025-12-22 22:37:17,"{""segment"":""Mid-Market""}"
NS-CUST-000044,Bright Capital 44,finance@client044.example.com,HS-COMP-000044,APAC,Net 15,0.0,C,2025-10-12 09:45:41,"{""segment"":""Enterprise""}"
NS-CUST-000045,North Digital 45,finance@client045.example.com,HS-COMP-000045,APAC,Net 30,0.0,C,2025-07-16 07:34:36,"{""segment"":""SMB""}"
NS-CUST-000046,Nova Health 46,finance@client046.example.com,HS-COMP-000046,EMEA,Net 60,0.0,C,2025-06-29 14:49:46,"{""segment"":""SMB""}"
NS-CUST-000047,Bright Digital 47,finance@client047.example.com,HS-COMP-000047,EMEA,Net 15,0.0,B,2025-10-29 13:07:10,"{""segment"":""Mid-Market""}"
NS-CUST-000048,Blue Labs 48,finance@client048.example.com,HS-COMP-000048,APAC,Net 15,0.0,A,2025-12-30 20:52:12,"{""segment"":""SMB""}"
NS-CUST-000049,Prime Retail 49,finance@client049.example.com,HS-COMP-000049,US,Net 60,0.0,A,2025-07-13 16:00:23,"{""segment"":""Mid-Market""}"
NS-CUST-000050,Nova Capital 50,finance@client050.example.com,HS-COMP-000050,EMEA,Net 15,0.0,B,2025-08-09 22:31:29,"{""segment"":""Enterprise""}"
NS-CUST-000051,Nova Digital 51,finance@client051.example.com,HS-COMP-000051,US,Net 15,0.0,B,2025-06-19 13:05:02,"{""segment"":""Enterprise""}"
NS-CUST-000052,Prime Retail 52,finance@client052.example.com,HS-COMP-000052,US,Net 45,0.0,A,2026-03-15 02:18:12,"{""segment"":""Enterprise""}"
NS-CUST-000053,Prime Retail 53,finance@client053.example.com,HS-COMP-000053,US,Net 45,0.0,A,2026-03-11 23:46:06,"{""segment"":""Enterprise""}"
NS-CUST-000054,Blue Retail 54,finance@client054.example.com,HS-COMP-000054,US,Net 30,0.0,C,2025-05-05 19:21:59,"{""segment"":""Mid-Market""}"
NS-CUST-000055,Nova Capital 55,finance@client055.example.com,HS-COMP-000055,US,Net 30,0.0,A,2025-11-07 23:25:50,"{""segment"":""Mid-Market""}"
NS-CUST-000056,Nova Capital 56,finance@client056.example.com,HS-COMP-000056,APAC,Net 30,0.0,A,2025-12-16 14:08:51,"{""segment"":""Enterprise""}"
NS-CUST-000057,Nova Retail 57,finance@client057.example.com,HS-COMP-000057,US,Net 60,0.0,B,2026-03-01 07:32:38,"{""segment"":""Mid-Market""}"
NS-CUST-000058,North Capital 58,finance@client058.example.com,HS-COMP-000058,US,Net 15,0.0,C,2025-02-15 07:36:58,"{""segment"":""SMB""}"
NS-CUST-000059,North Capital 59,finance@client059.example.com,HS-COMP-000059,APAC,Net 45,0.0,B,2026-02-21 14:21:55,"{""segment"":""Mid-Market""}"
NS-CUST-000060,Bright Capital 60,finance@client060.example.com,HS-COMP-000060,US,Net 45,0.0,C,2025-08-27 07:34:27,"{""segment"":""Mid-Market""}"
NS-CUST-000061,Blue Labs 61,finance@client061.example.com,HS-COMP-000061,US,Net 15,0.0,A,2025-06-09 22:42:12,"{""segment"":""Enterprise""}"
NS-CUST-000062,Nova Retail 62,finance@client062.example.com,HS-COMP-000062,EMEA,Net 30,0.0,B,2025-01-25 09:08:37,"{""segment"":""SMB""}"
NS-CUST-000063,Nova Labs 63,finance@client063.example.com,HS-COMP-000063,APAC,Net 45,0.0,B,2025-08-25 21:10:05,"{""segment"":""Mid-Market""}"
NS-CUST-000064,Blue Health 64,finance@client064.example.com,HS-COMP-000064,EMEA,Net 15,0.0,A,2025-08-28 15:54:42,"{""segment"":""Enterprise""}"
NS-CUST-000065,Bright Labs 65,finance@client065.example.com,HS-COMP-000065,APAC,Net 60,0.0,C,2025-06-26 06:16:12,"{""segment"":""SMB""}"
NS-CUST-000066,Prime Retail 66,finance@client066.example.com,HS-COMP-000066,EMEA,Net 60,0.0,B,2026-03-04 18:12:54,"{""segment"":""SMB""}"
NS-CUST-000067,Nova Health 67,finance@client067.example.com,HS-COMP-000067,APAC,Net 45,0.0,A,2026-02-13 03:18:15,"{""segment"":""Mid-Market""}"
NS-CUST-000068,Nova Capital 68,finance@client068.example.com,HS-COMP-000068,EMEA,Net 45,0.0,A,2026-03-04 09:44:58,"{""segment"":""Enterprise""}"
NS-CUST-000069,Bright Health 69,finance@client069.example.com,HS-COMP-000069,APAC,Net 15,0.0,A,2025-08-29 16:03:39,"{""segment"":""Mid-Market""}"
NS-CUST-000070,North Capital 70,finance@client070.example.com,HS-COMP-000070,US,Net 45,0.0,B,2024-12-06 16:52:29,"{""segment"":""Enterprise""}"
NS-CUST-000071,Bright Digital 71,finance@client071.example.com,HS-COMP-000071,US,Net 45,0.0,B,2025-01-22 13:19:10,"{""segment"":""SMB""}"
NS-CUST-000072,Bright Health 72,finance@client072.example.com,HS-COMP-000072,APAC,Net 15,0.0,C,2026-02-11 23:58:16,"{""segment"":""SMB""}"
NS-CUST-000073,North Retail 73,finance@client073.example.com,HS-COMP-000073,EMEA,Net 15,0.0,C,2025-04-26 10:00:08,"{""segment"":""SMB""}"
NS-CUST-000074,North Health 74,finance@client074.example.com,HS-COMP-000074,US,Net 30,0.0,B,2026-02-18 02:01:05,"{""segment"":""Mid-Market""}"
NS-CUST-000075,Blue Digital 75,finance@client075.example.com,HS-COMP-000075,EMEA,Net 45,0.0,A,2025-10-09 15:53:47,"{""segment"":""Enterprise""}"
NS-CUST-000076,Prime Health 76,finance@client076.example.com,HS-COMP-000076,APAC,Net 30,0.0,A,2026-02-04 18:59:10,"{""segment"":""Enterprise""}"
NS-CUST-000077,Nova Labs 77,finance@client077.example.com,HS-COMP-000077,US,Net 30,0.0,B,2026-03-24 21:48:56,"{""segment"":""Mid-Market""}"
NS-CUST-000078,North Digital 78,finance@client078.example.com,HS-COMP-000078,APAC,Net 60,0.0,B,2025-09-04 05:03:47,"{""segment"":""Enterprise""}"
NS-CUST-000079,Blue Retail 79,finance@client079.example.com,HS-COMP-000079,APAC,Net 60,0.0,C,2025-10-19 00:23:55,"{""segment"":""SMB""}"
NS-CUST-000080,Blue Capital 80,finance@client080.example.com,HS-COMP-000080,US,Net 45,0.0,A,2025-01-30 00:53:53,"{""segment"":""SMB""}"
NS-CUST-000081,Blue Retail 81,finance@client081.example.com,HS-COMP-000081,APAC,Net 60,0.0,A,2025-05-05 07:25:29,"{""segment"":""Enterprise""}"
NS-CUST-000082,North Labs 82,finance@client082.example.com,HS-COMP-000082,EMEA,Net 15,0.0,A,2025-08-21 20:41:40,"{""segment"":""Enterprise""}"
NS-CUST-000083,Bright Capital 83,finance@client083.example.com,HS-COMP-000083,APAC,Net 30,0.0,C,2026-02-21 05:01:55,"{""segment"":""Enterprise""}"
NS-CUST-000084,Bright Labs 84,finance@client084.example.com,HS-COMP-000084,US,Net 30,0.0,B,2025-07-20 17:28:17,"{""segment"":""SMB""}"
NS-CUST-000085,Blue Retail 85,finance@client085.example.com,HS-COMP-000085,EMEA,Net 30,0.0,B,2025-11-27 20:37:14,"{""segment"":""SMB""}"
NS-CUST-000086,Prime Health 86,finance@client086.example.com,HS-COMP-000086,EMEA,Net 60,0.0,C,2025-12-11 15:48:30,"{""segment"":""SMB""}"
NS-CUST-000087,Bright Capital 87,finance@client087.example.com,HS-COMP-000087,APAC,Net 30,0.0,B,2026-02-07 13:47:00,"{""segment"":""Mid-Market""}"
NS-CUST-000088,Nova Labs 88,finance@client088.example.com,HS-COMP-000088,US,Net 30,0.0,B,2025-02-03 10:18:32,"{""segment"":""Enterprise""}"
NS-CUST-000089,Prime Labs 89,finance@client089.example.com,HS-COMP-000089,APAC,Net 30,0.0,A,2025-09-27 02:56:00,"{""segment"":""Mid-Market""}"
NS-CUST-000090,Nova Retail 90,finance@client090.example.com,HS-COMP-000090,US,Net 60,0.0,B,2026-03-15 19:25:18,"{""segment"":""SMB""}"
NS-CUST-000091,Prime Labs 91,finance@client091.example.com,HS-COMP-000091,APAC,Net 60,0.0,B,2025-11-05 03:11:30,"{""segment"":""Enterprise""}"
NS-CUST-000092,Prime Retail 92,finance@client092.example.com,HS-COMP-000092,EMEA,Net 15,0.0,C,2026-01-25 22:42:19,"{""segment"":""Mid-Market""}"
NS-CUST-000093,Blue Health 93,finance@client093.example.com,HS-COMP-000093,EMEA,Net 45,0.0,A,2025-12-01 08:10:25,"{""segment"":""Mid-Market""}"
NS-CUST-000094,Nova Capital 94,finance@client094.example.com,HS-COMP-000094,US,Net 30,0.0,B,2024-10-23 06:00:35,"{""segment"":""Enterprise""}"
NS-CUST-000095,Prime Health 95,finance@client095.example.com,HS-COMP-000095,US,Net 45,0.0,B,2025-09-05 00:26:13,"{""segment"":""SMB""}"
NS-CUST-000096,Prime Capital 96,finance@client096.example.com,HS-COMP-000096,EMEA,Net 45,0.0,A,2025-08-10 05:03:11,"{""segment"":""Mid-Market""}"
NS-CUST-000097,Blue Digital 97,finance@client097.example.com,HS-COMP-000097,US,Net 45,0.0,A,2025-12-07 01:59:48,"{""segment"":""Enterprise""}"
NS-CUST-000098,Prime Labs 98,finance@client098.example.com,HS-COMP-000098,APAC,Net 45,0.0,C,2025-05-24 12:34:09,"{""segment"":""Mid-Market""}"
NS-CUST-000099,North Health 99,finance@client099.example.com,HS-COMP-000099,EMEA,Net 15,0.0,A,2025-12-12 16:43:22,"{""segment"":""Enterprise""}"
NS-CUST-000100,Bright Labs 100,finance@client100.example.com,HS-COMP-000100,EMEA,Net 60,0.0,B,2026-03-13 21:43:14,"{""segment"":""Mid-Market""}"
NS-CUST-000101,Prime Digital 101,finance@client101.example.com,HS-COMP-000101,US,Net 45,0.0,C,2025-10-18 07:30:57,"{""segment"":""SMB""}"
NS-CUST-000102,Prime Digital 102,finance@client102.example.com,HS-COMP-000102,EMEA,Net 60,0.0,B,2025-09-13 11:33:28,"{""segment"":""SMB""}"
NS-CUST-000103,Bright Digital 103,finance@client103.example.com,HS-COMP-000103,EMEA,Net 60,0.0,A,2025-06-26 20:33:47,"{""segment"":""Enterprise""}"
NS-CUST-000104,Bright Retail 104,finance@client104.example.com,HS-COMP-000104,APAC,Net 30,0.0,A,2026-03-26 09:03:02,"{""segment"":""SMB""}"
