id,entity_id,tran_date,due_date,total,amount_remaining,status,line_items,last_modified_date
NS-INV-0000001,NS-CUST-000002,2025-11-24,2026-01-08,42737.65,12772.6,Open,"[{""item"":""Agency Services"",""description"":""North Retail 2 - Campaign Project"",""quantity"":239.44,""rate"":178.49,""amount"":42737.65}]",2025-07-15 01:56:03
NS-INV-0000002,NS-CUST-000002,2024-09-16,2024-10-31,53419.02,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Retail 2 - Growth Project"",""quantity"":236.67,""rate"":225.71,""amount"":53419.02}]",2024-04-11 05:19:39
NS-INV-0000003,NS-CUST-000003,2025-03-04,2025-05-03,38143.26,21055.05,Open,"[{""item"":""Agency Services"",""description"":""Bright Labs 3 - Rebuild Project"",""quantity"":173.33,""rate"":220.06,""amount"":38143.26}]",2026-01-22 06:59:06
NS-INV-0000004,NS-CUST-000005,2025-08-03,2025-08-18,58322.83,25611.35,Open,"[{""item"":""Agency Services"",""description"":""Prime Health 5 - Growth Project"",""quantity"":253.23,""rate"":230.32,""amount"":58322.83}]",2024-07-11 03:37:51
NS-INV-0000005,NS-CUST-000006,2025-04-04,2025-06-03,44946.33,32848.6,Partially Paid,"[{""item"":""Agency Services"",""description"":""Blue Digital 6 - Retainer Project"",""quantity"":254.35,""rate"":176.71,""amount"":44946.33}]",2024-05-22 17:47:26
NS-INV-0000006,NS-CUST-000008,2025-04-20,2025-06-19,98319.53,21381.85,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Digital 8 - Growth Project"",""quantity"":718.82,""rate"":136.78,""amount"":98319.53}]",2024-07-02 08:11:10
NS-INV-0000007,NS-CUST-000009,2025-12-06,2026-01-05,98324.7,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Retail 9 - Retainer Project"",""quantity"":446.89,""rate"":220.02,""amount"":98324.7}]",2025-05-20 07:52:38
NS-INV-0000008,NS-CUST-000011,2026-01-11,2026-02-10,98282.83,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Prime Capital 11 - Campaign Project"",""quantity"":712.66,""rate"":137.91,""amount"":98282.83}]",2025-11-04 14:34:28
NS-INV-0000009,NS-CUST-000013,2026-02-17,2026-04-18,11987.65,9529.0,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Digital 13 - Retainer Project"",""quantity"":86.9,""rate"":137.94,""amount"":11987.65}]",2025-11-08 12:10:38
NS-INV-0000010,NS-CUST-000019,2024-12-10,2024-12-25,99778.86,27054.61,Partially Paid,"[{""item"":""Agency Services"",""description"":""Bright Labs 19 - Growth Project"",""quantity"":620.59,""rate"":160.78,""amount"":99778.86}]",2025-08-31 01:18:21
