id,entity_id,tran_date,total,line_items,class,department,last_modified_date
NS-VB-0000001,VEND-0018,2024-07-06,5167.47,"[{""description"":""Software"",""amount"":5167.47}]",Paid Media,Client Services,2025-02-14 14:43:39
NS-VB-0000002,VEND-0007,2025-05-16,4153.95,"[{""description"":""Ad Spend"",""amount"":4153.95}]",Web Dev,Client Services,2026-03-10 13:14:06
NS-VB-0000003,VEND-0025,2024-04-14,4527.05,"[{""description"":""Contractor"",""amount"":4527.05}]",Email,Client Services,2024-04-10 03:39:18
NS-VB-0000004,VEND-0034,2026-01-25,5386.75,"[{""description"":""Contractor"",""amount"":5386.75}]",Paid Media,Creative,2025-08-25 14:27:18
NS-VB-0000005,VEND-0008,2025-07-13,933.89,"[{""description"":""Software"",""amount"":933.89}]",Email,Creative,2025-02-14 22:41:28
NS-VB-0000006,VEND-0010,2024-10-27,5561.57,"[{""description"":""Contractor"",""amount"":5561.57}]",SEO,Leadership,2025-12-17 07:31:09
NS-VB-0000007,VEND-0026,2024-10-31,2231.66,"[{""description"":""Ad Spend"",""amount"":2231.66}]",Social,Operations,2026-01-05 19:31:38
NS-VB-0000008,VEND-0025,2024-07-01,3475.61,"[{""description"":""Ad Spend"",""amount"":3475.61}]",SEO,Finance,2024-08-25 01:48:55
NS-VB-0000009,VEND-0006,2024-06-18,1735.29,"[{""description"":""Contractor"",""amount"":1735.29}]",SEO,Client Services,2024-12-20 21:53:37
NS-VB-0000010,VEND-0023,2024-08-21,1497.81,"[{""description"":""Software"",""amount"":1497.81}]",Paid Media,Creative,2025-05-29 22:06:54
NS-VB-0000011,VEND-0013,2024-06-22,2816.81,"[{""description"":""Ad Spend"",""amount"":2816.81}]",Paid Media,Client Services,2024-05-02 22:54:39
NS-VB-0000012,VEND-0018,2024-06-04,4016.9,"[{""description"":""Contractor"",""amount"":4016.9}]",Content,Finance,2025-04-14 22:21:45
NS-VB-0000013,VEND-0013,2025-11-15,1636.42,"[{""description"":""Contractor"",""amount"":1636.42}]",Web Dev,Client Services,2024-07-18 04:01:48
NS-VB-0000014,VEND-0019,2024-07-10,2195.44,"[{""description"":""Software"",""amount"":2195.44}]",Paid Media,Leadership,2025-12-17 23:21:40
NS-VB-0000015,VEND-0033,2026-02-09,2087.42,"[{""description"":""Contractor"",""amount"":2087.42}]",SEO,Leadership,2026-03-19 21:29:01
NS-VB-0000016,VEND-0034,2025-10-27,5494.14,"[{""description"":""Software"",""amount"":5494.14}]",SEO,Operations,2024-04-30 20:25:06
NS-VB-0000017,VEND-0012,2025-06-05,3381.65,"[{""description"":""Ad Spend"",""amount"":3381.65}]",Content,Client Services,2025-02-15 19:18:16
NS-VB-0000018,VEND-0031,2025-03-24,5106.11,"[{""description"":""Software"",""amount"":5106.11}]",Web Dev,Operations,2025-09-16 16:32:42
NS-VB-0000019,VEND-0003,2024-07-13,5801.33,"[{""description"":""Contractor"",""amount"":5801.33}]",Email,Client Services,2024-10-13 11:49:56
NS-VB-0000020,VEND-0033,2025-12-31,3862.2,"[{""description"":""Software"",""amount"":3862.2}]",Web Dev,Operations,2025-09-12 23:27:05
NS-VB-0000021,VEND-0007,2025-07-04,1344.79,"[{""description"":""Software"",""amount"":1344.79}]",Content,Leadership,2026-01-09 23:03:46
NS-VB-0000022,VEND-0009,2025-03-29,2673.78,"[{""description"":""Ad Spend"",""amount"":2673.78}]",Email,Finance,2025-04-13 23:49:43
NS-VB-0000023,VEND-0033,2024-09-29,3125.66,"[{""description"":""Software"",""amount"":3125.66}]",Social,Operations,2024-12-22 17:21:58
NS-VB-0000024,VEND-0016,2025-01-15,4228.95,"[{""description"":""Ad Spend"",""amount"":4228.95}]",Paid Media,Operations,2025-08-21 14:24:59
NS-VB-0000025,VEND-0009,2026-02-01,2587.64,"[{""description"":""Ad Spend"",""amount"":2587.64}]",Analytics,Finance,2024-04-14 15:02:34
NS-VB-0000026,VEND-0013,2025-12-26,5954.9,"[{""description"":""Contractor"",""amount"":5954.9}]",Web Dev,Client Services,2026-03-13 23:00:44
NS-VB-0000027,VEND-0018,2025-06-13,2969.67,"[{""description"":""Contractor"",""amount"":2969.67}]",Analytics,Operations,2026-02-26 18:29:49
NS-VB-0000028,VEND-0001,2026-01-04,4558.94,"[{""description"":""Ad Spend"",""amount"":4558.94}]",Email,Client Services,2024-09-04 18:21:11
NS-VB-0000029,VEND-0017,2025-04-23,859.33,"[{""description"":""Contractor"",""amount"":859.33}]",Email,Media,2025-10-15 15:10:13
NS-VB-0000030,VEND-0019,2025-07-18,3426.7,"[{""description"":""Software"",""amount"":3426.7}]",SEO,Finance,2025-10-01 05:17:05
NS-VB-0000031,VEND-0004,2025-11-22,1668.75,"[{""description"":""Software"",""amount"":1668.75}]",Paid Media,Media,2025-03-04 21:14:29
NS-VB-0000032,VEND-0023,2025-11-15,3430.65,"[{""description"":""Ad Spend"",""amount"":3430.65}]",Social,Operations,2025-03-31 02:03:29
NS-VB-0000033,VEND-0022,2025-08-18,3891.69,"[{""description"":""Contractor"",""amount"":3891.69}]",Paid Media,Creative,2025-08-20 10:34:04
NS-VB-0000034,VEND-0017,2025-02-16,3036.53,"[{""description"":""Contractor"",""amount"":3036.53}]",Analytics,Finance,2025-02-04 13:03:44
NS-VB-0000035,VEND-0027,2024-06-23,3243.02,"[{""description"":""Software"",""amount"":3243.02}]",Web Dev,Leadership,2025-08-23 00:29:10
NS-VB-0000036,VEND-0011,2025-10-25,3619.06,"[{""description"":""Software"",""amount"":3619.06}]",Analytics,Leadership,2026-03-27 06:49:34
NS-VB-0000037,VEND-0012,2024-05-17,3278.56,"[{""description"":""Ad Spend"",""amount"":3278.56}]",Email,Creative,2025-10-05 13:47:33
NS-VB-0000038,VEND-0008,2024-09-23,5421.26,"[{""description"":""Contractor"",""amount"":5421.26}]",Paid Media,Creative,2024-10-04 09:36:39
NS-VB-0000039,VEND-0028,2025-03-09,1376.56,"[{""description"":""Contractor"",""amount"":1376.56}]",Email,Media,2025-02-22 11:20:18
NS-VB-0000040,VEND-0028,2024-09-24,4405.83,"[{""description"":""Software"",""amount"":4405.83}]",Web Dev,Leadership,2025-04-16 09:05:48
NS-VB-0000041,VEND-0026,2024-10-28,258.06,"[{""description"":""Software"",""amount"":258.06}]",Content,Finance,2024-09-13 16:39:40
