_dataorbit_sync_id,_dataorbit_synced_at,id,entity_id,tran_date,due_date,total,amount_remaining,status,line_items,last_modified_date
6dd46f7e-05d0-4970-8a30-015bdc33679f,2026-03-27 17:33:21,NS-INV-0000001,NS-CUST-000002,2025-12-13,2026-01-12,26602.06,7231.96,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Retail 2 - Rebuild Project"",""quantity"":116.94,""rate"":227.49,""amount"":26602.06}]",2025-04-02 12:05:13
51d81fab-442c-4fa0-9b6d-7a332f9dfa6d,2026-03-27 17:33:21,NS-INV-0000002,NS-CUST-000002,2025-04-02,2025-04-17,96522.18,56102.31,Open,"[{""item"":""Agency Services"",""description"":""North Retail 2 - Growth Project"",""quantity"":520.5,""rate"":185.44,""amount"":96522.18}]",2024-09-07 17:57:34
a1de67bb-b6c7-43b8-9e69-70016f705792,2026-03-27 17:33:21,NS-INV-0000003,NS-CUST-000002,2025-09-25,2025-11-09,36909.89,14985.41,Open,"[{""item"":""Agency Services"",""description"":""North Retail 2 - Campaign Project"",""quantity"":168.39,""rate"":219.19,""amount"":36909.89}]",2026-02-25 15:58:04
48bee8b6-777e-4697-8ea9-4d1656cb0789,2026-03-27 17:33:21,NS-INV-0000004,NS-CUST-000003,2025-02-12,2025-03-29,88630.82,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Bright Labs 3 - Rebuild Project"",""quantity"":406.4,""rate"":218.09,""amount"":88630.82}]",2025-03-31 14:08:36
ac909a5d-73ce-44a0-a430-f29bca48ab00,2026-03-27 17:33:21,NS-INV-0000005,NS-CUST-000005,2025-10-21,2025-12-20,8999.49,6607.19,Partially Paid,"[{""item"":""Agency Services"",""description"":""Prime Health 5 - Growth Project"",""quantity"":46.11,""rate"":195.16,""amount"":8999.49}]",2025-05-10 06:01:47
bc0f159f-f385-43bf-911a-9506fd349109,2026-03-27 17:33:21,NS-INV-0000006,NS-CUST-000008,2025-07-04,2025-09-02,95237.32,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Digital 8 - Growth Project"",""quantity"":434.91,""rate"":218.98,""amount"":95237.32}]",2025-07-21 16:37:21
03f355f7-0bfa-44dd-9151-0f716a82e809,2026-03-27 17:33:21,NS-INV-0000007,NS-CUST-000009,2025-12-08,2025-12-23,84245.36,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Retail 9 - Growth Project"",""quantity"":487.11,""rate"":172.95,""amount"":84245.36}]",2024-11-09 17:55:00
a441b1cd-4700-4db6-8b77-2cc9ffcc2ebd,2026-03-27 17:33:21,NS-INV-0000008,NS-CUST-000009,2025-12-03,2025-12-18,5997.0,4136.92,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Retail 9 - Rebuild Project"",""quantity"":26.76,""rate"":224.13,""amount"":5997.0}]",2025-08-12 12:13:05
855e6f72-e687-4657-8d30-e6bbbf3c94c7,2026-03-27 17:33:21,NS-INV-0000009,NS-CUST-000010,2026-04-18,2026-05-18,99661.86,59391.67,Partially Paid,"[{""item"":""Agency Services"",""description"":""Nova Capital 10 - Campaign Project"",""quantity"":752.05,""rate"":132.52,""amount"":99661.86}]",2025-08-05 18:14:25
7fe88d97-2916-4f86-a9de-205de38166b7,2026-03-27 17:33:21,NS-INV-0000010,NS-CUST-000011,2024-08-22,2024-09-21,20927.91,9987.56,Open,"[{""item"":""Agency Services"",""description"":""Prime Capital 11 - Growth Project"",""quantity"":130.08,""rate"":160.89,""amount"":20927.91}]",2024-07-08 22:55:41
7b8d4731-255b-443b-b0f0-96f91f84fc3b,2026-03-27 17:33:21,NS-INV-0000011,NS-CUST-000011,2024-10-31,2024-12-30,112023.96,51723.9,Partially Paid,"[{""item"":""Agency Services"",""description"":""Prime Capital 11 - Rebuild Project"",""quantity"":484.81,""rate"":231.07,""amount"":112023.96}]",2025-05-05 19:14:31
89623859-b974-45c1-ab71-2afdb31a12f9,2026-03-27 17:33:21,NS-INV-0000012,NS-CUST-000017,2025-03-23,2025-04-22,41137.17,20564.94,Partially Paid,"[{""item"":""Agency Services"",""description"":""Prime Health 17 - Growth Project"",""quantity"":172.59,""rate"":238.35,""amount"":41137.17}]",2024-04-10 12:15:29
7bc23cef-b3d5-4834-aa6c-e8756a91e600,2026-03-27 17:33:21,NS-INV-0000013,NS-CUST-000020,2025-08-12,2025-08-27,44556.62,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Nova Capital 20 - Rebuild Project"",""quantity"":275.19,""rate"":161.91,""amount"":44556.62}]",2025-08-07 23:32:57
82ee7b7c-f352-4bda-ba50-868a5a06bd68,2026-03-27 17:33:21,NS-INV-0000014,NS-CUST-000021,2025-07-10,2025-08-24,40570.95,11484.38,Open,"[{""item"":""Agency Services"",""description"":""Prime Labs 21 - Growth Project"",""quantity"":201.65,""rate"":201.19,""amount"":40570.95}]",2025-11-04 02:01:28
26303fd2-e59e-47c8-aa7a-c56b5caad16c,2026-03-27 17:33:21,NS-INV-0000015,NS-CUST-000023,2025-06-02,2025-07-17,39513.68,16204.01,Partially Paid,"[{""item"":""Agency Services"",""description"":""Blue Labs 23 - Rebuild Project"",""quantity"":206.68,""rate"":191.18,""amount"":39513.68}]",2026-01-12 05:06:21
5e96c243-06f3-45d5-b769-2d8d1294d7ca,2026-03-27 17:33:21,NS-INV-0000016,NS-CUST-000023,2024-11-06,2024-12-21,59657.78,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Blue Labs 23 - Campaign Project"",""quantity"":389.06,""rate"":153.34,""amount"":59657.78}]",2025-07-06 21:53:22
da1e3ea6-08a1-47e0-88cd-4237a5961893,2026-03-27 17:33:21,NS-INV-0000017,NS-CUST-000025,2024-11-18,2025-01-17,46857.88,28039.68,Open,"[{""item"":""Agency Services"",""description"":""Nova Capital 25 - Retainer Project"",""quantity"":208.76,""rate"":224.46,""amount"":46857.88}]",2026-01-26 22:50:10
5a2afc46-0583-4949-bfa3-31c088f6655f,2026-03-27 17:33:21,NS-INV-0000018,NS-CUST-000025,2025-07-12,2025-08-11,36195.84,17300.15,Open,"[{""item"":""Agency Services"",""description"":""Nova Capital 25 - Campaign Project"",""quantity"":274.77,""rate"":131.73,""amount"":36195.84}]",2025-11-04 06:53:34
15f25897-4711-4c60-8c28-bc73948e7cf5,2026-03-27 17:33:21,NS-INV-0000019,NS-CUST-000027,2025-12-28,2026-02-11,29806.49,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Capital 27 - Growth Project"",""quantity"":121.32,""rate"":245.68,""amount"":29806.49}]",2025-11-17 23:04:44
05d84549-9cd6-46d1-8087-303004b7b694,2026-03-27 17:33:21,NS-INV-0000020,NS-CUST-000028,2026-01-31,2026-04-01,63322.27,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Nova Digital 28 - Growth Project"",""quantity"":268.62,""rate"":235.73,""amount"":63322.27}]",2025-01-31 04:50:48
6fe4be01-ad56-42b4-8b3f-8672f2307fdb,2026-03-27 17:33:21,NS-INV-0000021,NS-CUST-000028,2025-05-10,2025-07-09,53833.09,22289.63,Partially Paid,"[{""item"":""Agency Services"",""description"":""Nova Digital 28 - Retainer Project"",""quantity"":368.69,""rate"":146.01,""amount"":53833.09}]",2024-07-24 01:21:38
7c0c40e0-340d-4002-8ed2-15db139ed747,2026-03-27 17:33:21,NS-INV-0000022,NS-CUST-000029,2025-06-27,2025-08-11,81051.49,27127.13,Open,"[{""item"":""Agency Services"",""description"":""Bright Capital 29 - Rebuild Project"",""quantity"":483.05,""rate"":167.79,""amount"":81051.49}]",2025-02-04 13:09:26
5b882e6a-199c-4829-a357-d06a8e17a873,2026-03-27 17:33:21,NS-INV-0000023,NS-CUST-000032,2025-02-05,2025-02-20,74313.93,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Health 32 - Rebuild Project"",""quantity"":533.1,""rate"":139.4,""amount"":74313.93}]",2024-12-20 06:32:07
6c641f01-9db4-4e00-9551-f9d06a4c7fc9,2026-03-27 17:33:21,NS-INV-0000024,NS-CUST-000034,2024-10-15,2024-11-29,26830.43,14457.63,Partially Paid,"[{""item"":""Agency Services"",""description"":""North Health 34 - Retainer Project"",""quantity"":145.63,""rate"":184.24,""amount"":26830.43}]",2025-06-04 12:14:04
82351564-e4eb-4a3e-87ce-df91eecc9d72,2026-03-27 17:33:21,NS-INV-0000025,NS-CUST-000034,2025-09-19,2025-10-04,35237.56,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Health 34 - Campaign Project"",""quantity"":194.45,""rate"":181.22,""amount"":35237.56}]",2024-08-13 04:25:08
615a1934-9ada-483c-838b-eea74abad4b5,2026-03-27 17:33:21,NS-INV-0000026,NS-CUST-000035,2024-08-05,2024-08-20,62422.49,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Digital 35 - Rebuild Project"",""quantity"":273.16,""rate"":228.52,""amount"":62422.49}]",2024-11-24 22:09:43
1ca7a76b-1de0-4632-852e-0eb65628ed9f,2026-03-27 17:33:21,NS-INV-0000027,NS-CUST-000037,2026-06-29,2026-08-28,16994.2,5026.32,Open,"[{""item"":""Agency Services"",""description"":""North Retail 37 - Retainer Project"",""quantity"":102.16,""rate"":166.35,""amount"":16994.2}]",2024-04-21 14:18:37
e013528f-e6df-4c79-a4a1-00fa1918c644,2026-03-27 17:33:21,NS-INV-0000028,NS-CUST-000039,2025-07-12,2025-09-10,61663.22,17023.36,Partially Paid,"[{""item"":""Agency Services"",""description"":""Bright Health 39 - Growth Project"",""quantity"":250.35,""rate"":246.31,""amount"":61663.22}]",2025-10-10 04:10:49
dc0338e8-00ba-4182-8975-f66a0112e0f7,2026-03-27 17:33:21,NS-INV-0000029,NS-CUST-000040,2024-07-15,2024-08-14,53374.93,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""Bright Health 40 - Campaign Project"",""quantity"":381.28,""rate"":139.99,""amount"":53374.93}]",2024-11-24 13:00:24
5b613b0f-6b5e-4e31-8456-fff7b381a35b,2026-03-27 17:33:21,NS-INV-0000030,NS-CUST-000045,2024-08-28,2024-10-27,101734.95,0.0,Paid In Full,"[{""item"":""Agency Services"",""description"":""North Digital 45 - Growth Project"",""quantity"":672.81,""rate"":151.21,""amount"":101734.95}]",2026-02-02 08:25:41
