_dataorbit_sync_id,_dataorbit_synced_at,id,entity_id,tran_date,total,line_items,class,department,last_modified_date
7ad75054-e5b5-4ef1-8d64-78eefb5498ff,2026-03-27 17:33:21,NS-VB-0000001,VEND-0029,2024-09-21,5142.24,"[{""description"":""Contractor"",""amount"":5142.24}]",Social,Creative,2025-09-23 09:22:17
bac0f95b-6e63-472d-a74a-166be7419e0f,2026-03-27 17:33:21,NS-VB-0000002,VEND-0035,2024-07-18,2970.58,"[{""description"":""Ad Spend"",""amount"":2970.58}]",Email,Client Services,2024-12-31 11:36:59
6793213e-8b90-4058-87c7-4fecc1fe7901,2026-03-27 17:33:21,NS-VB-0000003,VEND-0017,2024-05-28,3520.93,"[{""description"":""Software"",""amount"":3520.93}]",Email,Finance,2026-02-20 15:56:49
e188d384-e8d5-4eab-a5dd-07b70fb8d939,2026-03-27 17:33:21,NS-VB-0000004,VEND-0003,2024-08-21,1481.89,"[{""description"":""Software"",""amount"":1481.89}]",Paid Media,Leadership,2025-04-09 03:31:51
8d8b216f-452f-4acc-8444-8af8521ec86b,2026-03-27 17:33:21,NS-VB-0000005,VEND-0028,2025-06-12,400.98,"[{""description"":""Ad Spend"",""amount"":400.98}]",Content,Creative,2025-01-23 00:47:32
f67a2c96-7bff-4a02-bcd2-6d0a02b182b3,2026-03-27 17:33:21,NS-VB-0000006,VEND-0016,2025-11-26,473.69,"[{""description"":""Ad Spend"",""amount"":473.69}]",Paid Media,Media,2025-06-02 16:05:36
8107c540-1465-4b87-9171-43a9987ffb49,2026-03-27 17:33:21,NS-VB-0000007,VEND-0013,2024-04-16,2912.57,"[{""description"":""Software"",""amount"":2912.57}]",Content,Client Services,2025-05-11 23:00:51
98061d35-6ffc-4f29-9324-7aa1b30c56c3,2026-03-27 17:33:21,NS-VB-0000008,VEND-0008,2024-09-23,1751.4,"[{""description"":""Contractor"",""amount"":1751.4}]",Email,Operations,2025-11-03 14:36:12
c9300e44-da3d-4716-8571-6e7c7f732e06,2026-03-27 17:33:21,NS-VB-0000009,VEND-0010,2025-02-17,624.21,"[{""description"":""Contractor"",""amount"":624.21}]",Content,Client Services,2025-02-01 14:07:35
2a0d5c2c-0bad-46eb-8046-93299bb9a8da,2026-03-27 17:33:21,NS-VB-0000010,VEND-0031,2025-07-26,5674.82,"[{""description"":""Ad Spend"",""amount"":5674.82}]",Content,Operations,2025-02-03 17:11:42
e3395645-31f4-437b-99d5-a8da61416a7b,2026-03-27 17:33:21,NS-VB-0000011,VEND-0023,2025-08-30,3656.6,"[{""description"":""Software"",""amount"":3656.6}]",Analytics,Creative,2025-12-15 07:46:56
74eb973b-5fb0-435c-87cf-e8156ddeb695,2026-03-27 17:33:21,NS-VB-0000012,VEND-0034,2025-02-13,4014.04,"[{""description"":""Software"",""amount"":4014.04}]",SEO,Client Services,2025-03-23 23:10:30
fb5e61aa-420b-40b9-b9cc-38a897623617,2026-03-27 17:33:21,NS-VB-0000013,VEND-0020,2025-11-03,3383.62,"[{""description"":""Ad Spend"",""amount"":3383.62}]",Email,Leadership,2025-10-01 19:07:24
137e0e85-7e5b-408b-9a23-844c8bd933b7,2026-03-27 17:33:21,NS-VB-0000014,VEND-0001,2024-04-14,2226.22,"[{""description"":""Ad Spend"",""amount"":2226.22}]",Email,Finance,2025-12-18 06:30:14
28816216-7571-472f-8ff3-ee537369bb75,2026-03-27 17:33:21,NS-VB-0000015,VEND-0028,2024-08-01,5490.86,"[{""description"":""Software"",""amount"":5490.86}]",Social,Leadership,2025-06-12 06:06:36
257eee20-0889-4ff3-bdd5-1a600a083891,2026-03-27 17:33:21,NS-VB-0000016,VEND-0018,2025-10-13,4737.15,"[{""description"":""Contractor"",""amount"":4737.15}]",Analytics,Media,2025-09-14 17:41:50
83afc946-0ea8-416e-98b5-a4a0a31ecddc,2026-03-27 17:33:21,NS-VB-0000017,VEND-0005,2026-03-10,5589.19,"[{""description"":""Software"",""amount"":5589.19}]",Email,Client Services,2024-11-23 20:56:18
bd0e521f-7cf7-47a4-b7f1-db713f6fee46,2026-03-27 17:33:21,NS-VB-0000018,VEND-0015,2024-10-27,4569.87,"[{""description"":""Software"",""amount"":4569.87}]",Social,Finance,2025-04-10 14:19:20
fd0cbf8d-5730-47e0-9cea-b3c1106f7592,2026-03-27 17:33:21,NS-VB-0000019,VEND-0019,2025-03-08,1748.32,"[{""description"":""Software"",""amount"":1748.32}]",Paid Media,Operations,2026-01-09 20:35:55
49f8aebf-e483-4bf6-b660-942151c96f3e,2026-03-27 17:33:21,NS-VB-0000020,VEND-0026,2025-05-30,3768.94,"[{""description"":""Ad Spend"",""amount"":3768.94}]",Social,Client Services,2025-04-10 05:53:46
ea8e6eec-c90c-4396-894c-3ac8d7e942d8,2026-03-27 17:33:21,NS-VB-0000021,VEND-0029,2024-10-31,4371.35,"[{""description"":""Software"",""amount"":4371.35}]",Paid Media,Creative,2024-07-30 13:16:37
24ec0145-0a0f-42a6-a1cd-f7037037c52b,2026-03-27 17:33:21,NS-VB-0000022,VEND-0020,2025-11-02,4231.16,"[{""description"":""Software"",""amount"":4231.16}]",Social,Leadership,2024-06-01 10:07:16
d21796a1-44c1-47d1-94da-c59e390c97de,2026-03-27 17:33:21,NS-VB-0000023,VEND-0016,2025-04-29,5615.78,"[{""description"":""Ad Spend"",""amount"":5615.78}]",SEO,Creative,2025-04-17 14:10:15
956fb412-d033-45a9-9646-0d3f114ad755,2026-03-27 17:33:21,NS-VB-0000024,VEND-0024,2026-03-15,944.5,"[{""description"":""Contractor"",""amount"":944.5}]",SEO,Operations,2026-01-11 00:29:30
b1aa3b2d-1126-43d3-980c-d32bef5ed2d4,2026-03-27 17:33:21,NS-VB-0000025,VEND-0031,2025-01-21,4858.86,"[{""description"":""Contractor"",""amount"":4858.86}]",Web Dev,Leadership,2025-06-08 00:40:47
dcd8b348-12d4-48f9-82fe-dfc1387880c5,2026-03-27 17:33:21,NS-VB-0000026,VEND-0003,2025-07-20,5159.86,"[{""description"":""Software"",""amount"":5159.86}]",SEO,Media,2024-12-31 01:35:33
28d48832-e5c2-4bc9-8a43-81d3842693ba,2026-03-27 17:33:21,NS-VB-0000027,VEND-0025,2025-07-23,5244.41,"[{""description"":""Contractor"",""amount"":5244.41}]",Email,Leadership,2024-04-04 07:40:26
fb39e8f9-f946-483d-8936-1ac22736820d,2026-03-27 17:33:21,NS-VB-0000028,VEND-0034,2025-11-27,5594.27,"[{""description"":""Ad Spend"",""amount"":5594.27}]",Paid Media,Client Services,2025-04-18 12:11:06
15122689-11cf-430e-8e9c-83eccabb8347,2026-03-27 17:33:21,NS-VB-0000029,VEND-0004,2025-04-10,5253.27,"[{""description"":""Ad Spend"",""amount"":5253.27}]",Web Dev,Finance,2026-01-23 16:21:25
d5e87987-8746-4168-a2a0-7f34d25642c1,2026-03-27 17:33:21,NS-VB-0000030,VEND-0023,2024-07-02,4151.86,"[{""description"":""Software"",""amount"":4151.86}]",Email,Media,2026-03-18 11:38:49
8e1e62ef-01b7-48da-b679-3f04f076acc5,2026-03-27 17:33:21,NS-VB-0000031,VEND-0011,2024-08-21,1431.41,"[{""description"":""Ad Spend"",""amount"":1431.41}]",Analytics,Media,2024-10-12 16:18:20
7044e3c9-8433-4283-8c15-9e547b71b3c9,2026-03-27 17:33:21,NS-VB-0000032,VEND-0028,2025-05-04,2232.14,"[{""description"":""Software"",""amount"":2232.14}]",Paid Media,Creative,2024-08-15 16:54:59
29fb3498-fb6b-4f26-a2f3-eaaf7685c46f,2026-03-27 17:33:21,NS-VB-0000033,VEND-0035,2025-11-16,711.11,"[{""description"":""Contractor"",""amount"":711.11}]",Content,Media,2025-11-13 07:32:31
c5780a29-2969-4ee4-b7b8-5db681cab273,2026-03-27 17:33:21,NS-VB-0000034,VEND-0024,2025-12-31,1258.78,"[{""description"":""Contractor"",""amount"":1258.78}]",SEO,Operations,2025-02-02 23:52:14
9131096f-6b63-41eb-bc83-4626572d6b19,2026-03-27 17:33:21,NS-VB-0000035,VEND-0014,2024-08-26,3658.23,"[{""description"":""Ad Spend"",""amount"":3658.23}]",Paid Media,Finance,2024-05-28 04:45:52
7c0369b3-21d0-429a-a1bb-8a5c5ad2dd8e,2026-03-27 17:33:21,NS-VB-0000036,VEND-0021,2025-05-06,2688.62,"[{""description"":""Contractor"",""amount"":2688.62}]",SEO,Operations,2024-04-07 00:44:48
ab4e7104-f9b3-4cbb-8b40-4397bb775b0f,2026-03-27 17:33:21,NS-VB-0000037,VEND-0028,2025-04-03,4467.35,"[{""description"":""Contractor"",""amount"":4467.35}]",Content,Leadership,2024-05-17 08:19:45
f7a7c976-ed9e-477f-8d65-aa70618dd4a8,2026-03-27 17:33:21,NS-VB-0000038,VEND-0014,2026-03-13,5060.95,"[{""description"":""Software"",""amount"":5060.95}]",SEO,Leadership,2025-11-27 16:06:14
ab32d64d-983c-4c66-ac14-73c5395d3f44,2026-03-27 17:33:21,NS-VB-0000039,VEND-0034,2026-01-20,4875.8,"[{""description"":""Software"",""amount"":4875.8}]",Content,Client Services,2025-09-26 06:26:48
e847b0b0-92da-44cb-b7a4-1efa1a32971f,2026-03-27 17:33:21,NS-VB-0000040,VEND-0005,2024-10-28,3941.55,"[{""description"":""Software"",""amount"":3941.55}]",Analytics,Creative,2024-04-16 01:09:21
009cef7c-884f-4cec-8e7c-6594bbb5c8b9,2026-03-27 17:33:21,NS-VB-0000041,VEND-0015,2024-04-22,2348.17,"[{""description"":""Contractor"",""amount"":2348.17}]",Paid Media,Client Services,2024-10-27 15:17:34
